age_group,gender,registration_month,months_since_registration,retained_users,cohort_demographic_size
,Other,2023-01-01 00:00:00.000,2,1,5
,Other,2023-01-01 00:00:00.000,3,1,5
,Other,2023-01-01 00:00:00.000,13,1,5
,Other,2023-01-01 00:00:00.000,14,1,5
,Other,2023-01-01 00:00:00.000,15,1,5
,Other,2023-01-01 00:00:00.000,17,1,5
,Other,2023-01-01 00:00:00.000,19,1,5
,Other,2023-01-01 00:00:00.000,23,1,5
,Other,2023-02-01 00:00:00.000,0,1,8
,Other,2023-02-01 00:00:00.000,1,1,8
,Other,2023-02-01 00:00:00.000,2,1,8
,Other,2023-02-01 00:00:00.000,5,1,8
,Other,2023-02-01 00:00:00.000,8,1,8
,Other,2023-02-01 00:00:00.000,9,1,8
,Other,2023-02-01 00:00:00.000,11,1,8
,Other,2023-02-01 00:00:00.000,13,1,8
,Other,2023-02-01 00:00:00.000,15,1,8
,Other,2023-02-01 00:00:00.000,16,1,8
,Other,2023-03-01 00:00:00.000,0,1,11
,Other,2023-03-01 00:00:00.000,2,1,11
,Other,2023-03-01 00:00:00.000,4,1,11
,Other,2023-03-01 00:00:00.000,6,1,11
,Other,2023-03-01 00:00:00.000,8,1,11
,Other,2023-03-01 00:00:00.000,9,1,11
,Other,2023-03-01 00:00:00.000,18,1,11
,Other,2023-03-01 00:00:00.000,19,1,11
,Other,2023-03-01 00:00:00.000,20,1,11
,Other,2023-04-01 00:00:00.000,1,1,6
,Other,2023-04-01 00:00:00.000,4,1,6
,Other,2023-04-01 00:00:00.000,8,1,6
,Other,2023-04-01 00:00:00.000,11,1,6
,Other,2023-04-01 00:00:00.000,15,1,6
,Other,2023-04-01 00:00:00.000,18,1,6
,Other,2023-05-01 00:00:00.000,4,1,3
,Other,2023-05-01 00:00:00.000,7,1,3
,Other,2023-05-01 00:00:00.000,8,1,3
,Other,2023-05-01 00:00:00.000,9,1,3
,Other,2023-05-01 00:00:00.000,11,1,3
,Other,2023-05-01 00:00:00.000,15,1,3
,Other,2023-05-01 00:00:00.000,18,1,3
,Other,2023-05-01 00:00:00.000,19,1,3
,Other,2023-06-01 00:00:00.000,2,1,1
,Other,2023-06-01 00:00:00.000,6,1,1
,Other,2023-06-01 00:00:00.000,12,1,1
,Other,2023-07-01 00:00:00.000,0,1,4
,Other,2023-07-01 00:00:00.000,2,1,4
,Other,2023-07-01 00:00:00.000,5,1,4
,Other,2023-07-01 00:00:00.000,9,1,4
,Other,2023-07-01 00:00:00.000,10,1,4
,Other,2023-07-01 00:00:00.000,16,1,4
,Other,2023-08-01 00:00:00.000,13,1,2
,Other,2023-09-01 00:00:00.000,4,1,4
,Other,2023-09-01 00:00:00.000,5,1,4
,Other,2023-10-01 00:00:00.000,0,1,5
,Other,2023-10-01 00:00:00.000,1,1,5
,Other,2023-10-01 00:00:00.000,3,1,5
,Other,2023-10-01 00:00:00.000,4,1,5
,Other,2023-10-01 00:00:00.000,7,1,5
,Other,2023-10-01 00:00:00.000,8,1,5
,Other,2023-10-01 00:00:00.000,10,1,5
,Other,2023-10-01 00:00:00.000,13,1,5
,Other,2023-11-01 00:00:00.000,0,1,5
,Other,2023-11-01 00:00:00.000,1,1,5
,Other,2023-11-01 00:00:00.000,3,1,5
,Other,2023-11-01 00:00:00.000,5,1,5
,Other,2023-11-01 00:00:00.000,7,1,5
