user_id,original_session_id,session_start_time,session_end_time,session_duration_seconds
1,46393,"2023-12-04 22:47:37","2023-12-04 23:04:12",995
2,13352,"2024-12-24 12:42:10","2024-12-24 12:46:35",265
2,41141,"2023-05-25 22:53:49","2023-05-25 22:54:16",27
3,6429,"2023-07-26 21:04:05","2023-07-26 21:51:44",2859
3,33505,"2024-02-03 08:42:50","2024-02-03 08:43:11",21
3,87986,"2024-01-19 17:17:42","2024-01-19 17:51:22",2020
3,91930,"2023-06-20 22:20:37","2023-06-20 22:21:27",50
4,2503,"2023-07-30 19:18:00","2023-07-30 19:22:14",254
4,48587,"2024-05-14 22:15:28","2024-05-14 22:22:59",451
4,65119,"2024-01-19 09:16:29","2024-01-19 09:43:19",1610
4,80757,"2024-06-01 05:20:59","2024-06-01 05:48:19",1640
5,25194,"2024-03-01 18:45:24","2024-03-01 19:09:24",1440
5,42082,"2024-06-06 06:00:25","2024-06-06 06:12:50",745
5,59834,"2024-03-30 05:20:34","2024-03-30 06:00:03",2369
5,64876,"2023-11-21 21:25:54","2023-11-21 22:07:02",2468
5,65807,"2023-11-27 08:35:05","2023-11-27 08:50:00",895
5,67427,"2024-10-03 02:09:17","2024-10-03 02:46:30",2233
5,86367,"2024-03-31 06:26:58","2024-03-31 06:30:24",206
8,5828,"2023-09-05 05:25:18","2023-09-05 05:32:41",443
8,33545,"2023-09-09 04:45:33","2023-09-09 05:14:31",1738
8,43247,"2023-02-13 18:13:00","2023-02-13 18:22:26",566
8,56012,"2023-02-15 13:08:30","2023-02-15 13:31:41",1391
8,72825,"2024-12-10 11:28:07","2024-12-10 11:46:13",1086
8,83413,"2024-02-08 17:15:32","2024-02-08 17:41:56",1584
9,68278,"2024-09-13 06:26:42","2024-09-13 06:40:00",798
9,72744,"2023-07-08 05:08:54","2023-07-08 05:27:55",1141
9,91280,"2023-04-01 20:55:26","2023-04-01 21:05:29",603
10,27282,"2023-07-17 23:27:36","2023-07-17 23:30:13",157
10,93742,"2023-10-12 22:24:00","2023-10-12 22:37:03",783
11,65524,"2024-02-01 20:30:58","2024-02-01 20:46:00",902
11,66649,"2023-08-30 19:43:43","2023-08-30 20:15:51",1928
12,19084,"2024-12-14 19:41:43","2024-12-14 20:08:03",1580
12,21909,"2024-02-24 22:41:12","2024-02-24 22:42:31",79
12,29207,"2023-06-22 02:57:18","2023-06-22 03:22:14",1496
12,52657,"2024-10-16 17:41:10","2024-10-16 18:06:35",1525
12,54646,"2024-08-03 07:14:46","2024-08-03 07:35:02",1216
12,73824,"2023-06-07 10:22:21","2023-06-07 10:50:26",1685
